   ,日期,时间,交易量,成功率,响应时间
58,0401,0057,60,98.33%,104.83
59,0401,0058,53,94.34%,857.96
60,0401,0059,61,98.36%,124.1
61,0401,0100,68,98.53%,125.24
62,0401,0101,63,87.3%,735.33
63,0401,0102,55,94.55%,101.33
64,0401,0103,38,97.37%,117.82
65,0401,0104,52,98.08%,97
66,0401,0105,48,100%,99.83
67,0401,0106,49,97.96%,105.57
68,0401,0107,55,94.55%,119.55
69,0401,0108,52,98.08%,108
70,0401,0109,63,93.65%,129.92
71,0401,0110,48,93.75%,116.81
72,0401,0111,54,85.19%,861.74
73,0401,0112,53,92.45%,104.13
74,0401,0113,46,100%,107.24
75,0401,0114,41,95.12%,1068.44
76,0401,0115,41,95.12%,1085.34
77,0401,0116,36,94.44%,89.75
78,0401,0117,43,95.35%,102.58
79,0401,0118,43,97.67%,1030.35
80,0401,0119,60,96.67%,101.92
81,0401,0120,52,100%,101.81
82,0401,0121,30,100%,112.73
83,0401,0122,33,100%,101.85
84,0401,0123,49,100%,933
85,0401,0124,58,96.55%,101.26
86,0401,0125,40,100%,112.98
87,0401,0126,38,94.74%,151.97
88,0401,0127,54,94.44%,103.31
89,0401,0128,38,92.11%,113.55
90,0401,0129,58,94.83%,106.55
91,0401,0130,37,91.89%,103.51
92,0401,0131,27,92.59%,110.96
93,0401,0132,41,97.56%,117.49
94,0401,0133,46,95.65%,990.43
95,0401,0134,50,92%,97.3
96,0401,0135,51,96.08%,99.86
97,0401,0136,50,90%,97.16
98,0401,0137,36,94.44%,100.94
99,0401,0138,51,94.12%,98.82
100,0401,0139,45,95.56%,104.6
101,0401,0140,36,91.67%,111.58
102,0401,0141,24,100%,102.29
103,0401,0142,41,95.12%,119.29
104,0401,0143,31,93.55%,126.32
105,0401,0144,37,94.59%,90.68
106,0401,0145,50,94%,105.6
107,0401,0146,37,100%,91.57
108,0401,0147,35,100%,96.83
109,0401,0148,33,100%,101.97
110,0401,0149,58,100%,99.67
111,0401,0150,62,96.77%,121.19
112,0401,0151,42,97.62%,95.76
113,0401,0152,41,92.68%,102.93
114,0401,0153,40,97.5%,89.83
115,0401,0154,37,97.3%,101.03
116,0401,0155,27,92.59%,98.07
117,0401,0156,27,100%,1576.19
118,0401,0157,41,95.12%,1076.15
119,0401,0158,31,96.77%,102.81
120,0401,0159,38,86.84%,104.92
121,0401,0200,23,95.65%,98.48
122,0401,0201,19,100%,105.16
123,0401,0202,32,93.75%,114.78
124,0401,0203,53,92.45%,112.72
125,0401,0204,36,97.22%,98.19
126,0401,0205,42,90.48%,91.76
127,0401,0206,48,100%,113.71
128,0401,0207,36,94.44%,101.72
129,0401,0208,27,92.59%,95
130,0401,0209,25,92%,105.64
131,0401,0210,34,97.06%,102.71
132,0401,0211,43,97.67%,96.58
133,0401,0212,26,100%,92.35
134,0401,0213,45,91.11%,101.27
135,0401,0214,43,97.67%,94.77
136,0401,0215,33,100%,103.39
137,0401,0216,44,95.45%,101.59
138,0401,0217,37,94.59%,98.65
139,0401,0218,28,89.29%,110.43
140,0401,0219,35,97.14%,98.2
141,0401,0220,41,100%,97.49
142,0401,0221,40,95%,105.68
143,0401,0222,29,93.1%,1481.31
144,0401,0223,36,94.44%,1247.89
145,0401,0224,12,100%,96.17
146,0401,0225,23,95.65%,99.17
147,0401,0226,29,96.55%,115.1
148,0401,0227,33,87.88%,94.15
149,0401,0228,25,88%,99.72
150,0401,0229,23,95.65%,116.3
151,0401,0230,28,100%,95.86
152,0401,0231,31,93.55%,114.68
153,0401,0232,15,93.33%,2786.53
154,0401,0233,17,100%,96.41
155,0401,0234,34,100%,96.53
156,0401,0235,26,100%,95.08
157,0401,0236,24,100%,97.67
158,0401,0237,7,100%,90.14
159,0401,0238,25,96%,107.08
160,0401,0239,27,100%,91.04
161,0401,0240,23,100%,94.43
162,0401,0241,30,100%,125.33
163,0401,0242,22,100%,125
164,0401,0243,31,100%,1436.13
165,0401,0244,18,100%,115.94
166,0401,0245,16,93.75%,119.75
167,0401,0246,8,100%,104
168,0401,0247,27,96.3%,97.48
169,0401,0248,28,100%,92.29
170,0401,0249,26,100%,102.46
171,0401,0250,15,100%,99.47
172,0401,0251,18,94.44%,101.94
173,0401,0252,17,100%,98.47
174,0401,0253,19,94.74%,108.26
175,0401,0254,19,100%,96.63
176,0401,0255,29,93.1%,103.86
177,0401,0256,21,100%,119.62
178,0401,0257,10,100%,97.3
179,0401,0258,14,100%,98.64
180,0401,0259,25,92%,98.64
181,0401,0300,35,100%,93.83
182,0401,0301,35,100%,100.14
183,0401,0302,13,100%,87.77
184,0401,0303,19,100%,144.11
185,0401,0304,6,100%,250
186,0401,0305,22,100%,258.5
187,0401,0306,20,100%,165.15
188,0401,0307,22,95.45%,97.23
189,0401,0308,22,100%,92.18
190,0401,0309,29,100%,1480.52
191,0401,0310,29,100%,98.14
192,0401,0311,13,100%,96.69
193,0401,0312,11,90.91%,94.27
194,0401,0313,16,100%,108.44
195,0401,0314,9,88.89%,88.22
196,0401,0315,24,100%,104.38
197,0401,0316,22,100%,103.18
198,0401,0317,24,91.67%,97.58
199,0401,0318,35,94.29%,90.11
200,0401,0319,25,96%,116.08
201,0401,0320,27,100%,102
202,0401,0321,19,94.74%,101.32
203,0401,0322,18,94.44%,105.44
204,0401,0323,21,100%,101.14
205,0401,0324,21,100%,101.29
206,0401,0325,32,96.88%,98.97
207,0401,0326,17,100%,108.06
208,0401,0327,20,100%,112.7
209,0401,0328,19,100%,94.68
210,0401,0329,22,100%,103.64
211,0401,0330,15,93.33%,2764.33
212,0401,0331,12,100%,94.08
213,0401,0332,21,100%,101.38
214,0401,0333,17,94.12%,113.12
215,0401,0334,20,95%,98.35
216,0401,0335,22,95.45%,94.32
217,0401,0336,16,100%,91.75
218,0401,0337,27,96.3%,103.7
219,0401,0338,23,100%,106.48
220,0401,0339,23,100%,118.91
221,0401,0340,22,100%,94.14
222,0401,0341,23,100%,100
223,0401,0342,13,100%,89
224,0401,0343,7,71.43%,83.14
225,0401,0344,13,100%,98
226,0401,0345,5,100%,121.4
227,0401,0346,21,90.48%,104.48
228,0401,0347,7,100%,91.43
229,0401,0348,12,100%,104.58
230,0401,0349,11,100%,80.91
231,0401,0350,22,86.36%,106
232,0401,0351,30,96.67%,105.73
233,0401,0352,24,95.83%,93.13
234,0401,0353,29,93.1%,97.97
235,0401,0354,13,100%,95.23
236,0401,0355,13,100%,89.69
237,0401,0356,25,100%,93.72
238,0401,0357,29,100%,98.83
239,0401,0358,20,100%,99.45
240,0401,0359,21,100%,98.9
241,0401,0400,13,100%,3173.31
242,0401,0401,15,93.33%,117.8
243,0401,0402,32,93.75%,101.25
244,0401,0403,21,100%,104.48
245,0401,0404,25,100%,1708.32
246,0401,0405,12,83.33%,111
247,0401,0406,13,100%,105.85
248,0401,0407,25,96%,100.56
249,0401,0408,17,100%,121.35
250,0401,0409,16,93.75%,108.56
251,0401,0410,20,100%,104.15
252,0401,0411,9,100%,77
253,0401,0412,11,100%,111
254,0401,0413,16,100%,101.19
255,0401,0414,15,100%,94.27
256,0401,0415,11,100%,95.09
257,0401,0416,17,94.12%,100.24
258,0401,0417,16,100%,90.19
259,0401,0418,24,91.67%,99
260,0401,0419,18,88.89%,112.67
261,0401,0420,19,100%,106.05
262,0401,0421,11,100%,108.36
263,0401,0422,15,100%,131.4
264,0401,0423,25,92%,98.36
265,0401,0424,14,92.86%,108.43
266,0401,0425,14,85.71%,110.43
267,0401,0426,20,100%,2196.8
268,0401,0427,25,96%,107.8
269,0401,0428,12,100%,116.92
270,0401,0429,23,100%,100.48
271,0401,0430,14,92.86%,94.43
272,0401,0431,11,100%,104.73
273,0401,0432,15,93.33%,105.07
274,0401,0433,23,100%,92.52
275,0401,0434,18,100%,125.06
276,0401,0435,21,95.24%,110.62
277,0401,0436,14,100%,124.29
278,0401,0437,11,100%,105.27
279,0401,0438,24,95.83%,103.54
280,0401,0439,18,100%,103.22
281,0401,0440,19,94.74%,106.32
282,0401,0441,18,100%,96.78
283,0401,0442,20,100%,106.3
284,0401,0443,28,85.71%,190.68
285,0401,0444,12,100%,95.5
286,0401,0445,20,90%,103.7
287,0401,0446,9,88.89%,102
288,0401,0447,16,100%,103
289,0401,0448,18,100%,108.67
290,0401,0449,12,100%,101.42
291,0401,0450,8,100%,100.75
292,0401,0451,5,100%,125.2
293,0401,0452,18,100%,96.44
294,0401,0453,17,100%,87.94
295,0401,0454,32,90.63%,114.47
296,0401,0455,20,100%,95.65
297,0401,0456,19,100%,104
298,0401,0457,17,100%,96.76
299,0401,0458,16,100%,108.44
300,0401,0459,26,100%,103.73
301,0401,0500,34,100%,101.76
302,0401,0501,23,100%,95.48
303,0401,0502,17,100%,100.82
304,0401,0503,31,96.77%,94.16
305,0401,0504,21,95.24%,101.48
306,0401,0505,18,100%,99.39
307,0401,0506,21,95.24%,96.43
308,0401,0507,17,94.12%,103.65
309,0401,0508,20,95%,101.65
310,0401,0509,19,100%,102.58
311,0401,0510,21,100%,102.71
312,0401,0511,15,100%,119.13
313,0401,0512,28,85.71%,99.89
314,0401,0513,19,84.21%,95.32
315,0401,0514,30,100%,104.5
316,0401,0515,21,90.48%,95.52
317,0401,0516,32,96.88%,95.06
318,0401,0517,28,96.43%,104.61
319,0401,0518,38,100%,100.89
320,0401,0519,28,96.43%,99.46
321,0401,0520,33,100%,100.15
322,0401,0521,29,96.55%,95.31
323,0401,0522,22,95.45%,91.09
324,0401,0523,18,100%,99.17
325,0401,0524,17,82.35%,97.24
326,0401,0525,19,94.74%,92.26
327,0401,0526,28,92.86%,103.21
328,0401,0527,27,96.3%,91.96
329,0401,0528,47,100%,114.55
330,0401,0529,29,100%,102.69
331,0401,0530,23,100%,98.35
332,0401,0531,30,93.33%,103.8
333,0401,0532,29,100%,99.52
334,0401,0533,33,96.97%,103.76
335,0401,0534,30,100%,94.6
336,0401,0535,34,94.12%,98.09
337,0401,0536,34,97.06%,100.15
338,0401,0537,37,89.19%,88.27
339,0401,0538,37,94.59%,101.65
340,0401,0539,45,88.89%,100.89
341,0401,0540,36,97.22%,102.89
342,0401,0541,38,94.74%,1147.89
343,0401,0542,44,95.45%,98.05
344,0401,0543,44,90.91%,132.02
345,0401,0544,32,96.88%,100.09
346,0401,0545,58,100%,102.81
347,0401,0546,44,90.91%,100.77
348,0401,0547,45,95.56%,114.11
349,0401,0548,66,98.48%,101.41
350,0401,0549,43,95.35%,99.4
351,0401,0550,42,100%,99.1
352,0401,0551,47,97.87%,100
353,0401,0552,36,100%,104.58
354,0401,0553,54,98.15%,103.13
355,0401,0554,39,94.87%,95.46
356,0401,0555,61,98.36%,760.13
357,0401,0556,67,95.52%,104.69
358,0401,0557,66,96.97%,96.97
359,0401,0558,53,96.23%,98.13
360,0401,0559,73,93.15%,97.86
361,0401,0600,63,90.48%,103.4
362,0401,0601,56,94.64%,102.5
363,0401,0602,76,98.68%,103.17
364,0401,0603,83,98.8%,103.8
365,0401,0604,98,94.9%,506.18
366,0401,0605,71,97.18%,103.8
367,0401,0606,94,96.81%,520.96
368,0401,0607,83,100%,586.35
369,0401,0608,83,95.18%,110.99
370,0401,0609,98,95.92%,95.76
371,0401,0610,119,96.64%,99
372,0401,0611,103,96.12%,105.69
373,0401,0612,105,97.14%,110.26
374,0401,0613,121,96.69%,114.25
375,0401,0614,104,98.08%,115.8
376,0401,0615,101,92.08%,99.74
377,0401,0616,111,97.3%,100.3
378,0401,0617,134,97.76%,99.66
379,0401,0618,131,93.13%,95.82
380,0401,0619,146,93.84%,97.64
381,0401,0620,131,95.42%,95
382,0401,0621,125,96.8%,424.19
383,0401,0622,108,97.22%,103.67
384,0401,0623,122,91.8%,460.33
385,0401,0624,162,95.68%,104.99
386,0401,0625,146,93.84%,105.08
387,0401,0626,170,94.12%,98.26
388,0401,0627,192,97.4%,94.98
389,0401,0628,190,95.79%,99.5
390,0401,0629,177,97.18%,98.07
391,0401,0630,195,95.38%,302.59
392,0401,0631,196,95.92%,303.45
393,0401,0632,198,96.46%,100.17
394,0401,0633,206,95.63%,97.18
395,0401,0634,202,95.05%,302.83
396,0401,0635,227,98.24%,98.33
397,0401,0636,231,96.1%,104.37
398,0401,0637,225,95.56%,96.66
399,0401,0638,211,94.31%,99.32
400,0401,0639,234,96.15%,95.69
401,0401,0640,230,97.83%,96.98
402,0401,0641,203,95.07%,103.25
403,0401,0642,242,96.28%,427.31
404,0401,0643,239,95.4%,91.08
405,0401,0644,210,94.76%,100.24
406,0401,0645,291,95.19%,105.59
407,0401,0646,291,97.94%,95.38
408,0401,0647,303,96.37%,101.27
409,0401,0648,277,96.39%,238.92
410,0401,0649,293,95.9%,95.66
411,0401,0650,273,94.51%,94.75
412,0401,0651,310,94.19%,227.82
413,0401,0652,267,98.88%,93.1
414,0401,0653,343,96.21%,325.58
415,0401,0654,289,96.89%,95.3
416,0401,0655,324,98.15%,97.14
417,0401,0656,351,97.15%,213.77
418,0401,0657,347,96.54%,212.89
419,0401,0658,333,93.69%,94.12
420,0401,0659,346,96.24%,95.9
421,0401,0700,331,94.86%,101.88
422,0401,0701,320,96.25%,94.61
423,0401,0702,348,93.1%,321.99
424,0401,0703,386,94.04%,91.19
425,0401,0704,354,96.89%,93.94
426,0401,0705,382,95.29%,197.68
427,0401,0706,360,96.11%,93.41
428,0401,0707,353,94.62%,94.28
429,0401,0708,386,94.04%,197.07
430,0401,0709,393,96.95%,398.11
431,0401,0710,426,95.31%,95.08
432,0401,0711,412,95.15%,188.93
433,0401,0712,407,94.59%,97.29
434,0401,0713,467,98.07%,180.68
435,0401,0714,444,97.07%,96.31
436,0401,0715,432,96.06%,188.16
437,0401,0716,394,95.43%,89.75
438,0401,0717,457,94.53%,267.45
439,0401,0718,413,95.64%,86.99
440,0401,0719,453,95.81%,181.91
441,0401,0720,421,97.15%,89.34
442,0401,0721,449,96.66%,181.74
443,0401,0722,449,95.1%,91.02
444,0401,0723,491,94.5%,168.48
445,0401,0724,472,97.25%,94.43
446,0401,0725,529,95.84%,91.41
447,0401,0726,531,97.93%,94.26
448,0401,0727,531,97.18%,245.78
449,0401,0728,502,96.41%,90.94
450,0401,0729,583,96.91%,91.56
451,0401,0730,549,96.72%,309.17
452,0401,0731,585,96.07%,223.32
453,0401,0732,579,96.03%,292.58
454,0401,0733,559,97.5%,161.63
455,0401,0734,549,95.81%,85.49
456,0401,0735,532,96.24%,88.53
457,0401,0736,627,97.61%,217.08
458,0401,0737,616,95.13%,148.51
459,0401,0738,643,96.58%,211.23
460,0401,0739,676,95.27%,202.83
461,0401,0740,733,96.04%,82.07
462,0401,0741,697,96.99%,137.32
463,0401,0742,719,95.41%,81.7
464,0401,0743,680,95.88%,140.05
465,0401,0744,685,95.33%,84.88
466,0401,0745,694,96.25%,145.53
467,0401,0746,706,95.75%,82.71
468,0401,0747,612,97.22%,152.28
469,0401,0748,640,97.5%,84.61
470,0401,0749,671,96.87%,264.26
471,0401,0750,668,96.71%,201.94
472,0401,0751,732,95.9%,139.9
473,0401,0752,743,96.5%,193.94
474,0401,0753,686,96.06%,142.72
475,0401,0754,704,96.59%,80.27
476,0401,0755,680,97.21%,142.68
477,0401,0756,691,97.54%,84.22
478,0401,0757,698,94.99%,143.86
479,0401,0758,726,95.45%,138.01
480,0401,0759,694,95.97%,5906.6
481,0401,0800,710,95.21%,139.51
482,0401,0801,663,96.23%,206.81
483,0401,0802,731,95.35%,139.82
484,0401,0803,727,96.42%,138.73
485,0401,0804,777,95.88%,83.27
486,0401,0805,736,95.92%,139.4
487,0401,0806,751,97.34%,136.11
488,0401,0807,767,95.57%,291.9
489,0401,0808,742,94.47%,81.96
490,0401,0809,863,95.48%,130.27
491,0401,0810,753,96.41%,80.53
492,0401,0811,780,94.23%,77.7
493,0401,0812,780,95.77%,183.03
494,0401,0813,813,93.85%,178.32
495,0401,0814,863,94.55%,218.47
496,0401,0815,827,96.13%,80.73
497,0401,0816,839,96.9%,129.73
498,0401,0817,836,97.13%,177.55
499,0401,0818,894,96.42%,124.82
500,0401,0819,818,95.72%,80.05
501,0401,0820,906,96.03%,124.74
502,0401,0821,842,95.25%,225.2
503,0401,0822,794,93.95%,127.99
504,0401,0823,855,95.91%,124.95
505,0401,0824,925,96.32%,209.12
506,0401,0825,855,95.44%,80.85
507,0401,0826,869,96.55%,123.57
508,0401,0827,935,95.61%,124.07
509,0401,0828,801,96.25%,128.61
510,0401,0829,849,96.94%,127.15
511,0401,0830,916,96.4%,80.34
512,0401,0831,876,95.66%,127.92
513,0401,0832,932,95.6%,214.48
514,0401,0833,954,94.55%,165.66
515,0401,0834,916,95.74%,123.35
516,0401,0835,920,95%,206.22
517,0401,0836,947,96.41%,203.75
518,0401,0837,922,94.25%,120.14
519,0401,0838,990,95.25%,120.18
520,0401,0839,985,95.53%,80.79
521,0401,0840,1023,95.99%,119.63
522,0401,0841,986,95.94%,76.96
523,0401,0842,1002,96.41%,80.57
524,0401,0843,1030,96.21%,119.82
525,0401,0844,1027,97.18%,235.55
526,0401,0845,949,95.26%,119.45
527,0401,0846,1037,96.05%,79.07
528,0401,0847,963,95.85%,163.23
529,0401,0848,1030,96.89%,118.42
530,0401,0849,1001,96.6%,157.09
531,0401,0850,974,96%,325.32
532,0401,0851,966,95.96%,206.99
533,0401,0852,1045,96.56%,195.24
534,0401,0853,1051,95.53%,116.73
535,0401,0854,1049,96.38%,75.8
536,0401,0855,1030,95.15%,121.81
537,0401,0856,1010,96.24%,83.89
538,0401,0857,971,96.5%,77.55
539,0401,0858,1003,96.81%,117.22
540,0401,0859,1030,96.31%,3999.06
541,0401,0900,998,95.69%,116.02
542,0401,0901,1040,95.29%,76.07
543,0401,0902,1090,95.96%,110.94
544,0401,0903,1092,96.25%,113.93
545,0401,0904,1147,95.03%,147.77
546,0401,0905,1092,96.43%,113.04
547,0401,0906,1169,95.89%,110.85
548,0401,0907,1109,96.66%,113.89
549,0401,0908,1117,96.24%,221.04
550,0401,0909,1117,95.61%,112.21
551,0401,0910,1133,95.68%,184.29
552,0401,0911,1069,95.32%,116.09
553,0401,0912,1107,94.94%,147.86
554,0401,0913,1139,95.61%,113.19
555,0401,0914,1108,96.39%,77.06
556,0401,0915,1141,96.06%,110.72
557,0401,0916,1067,96.06%,261.7
558,0401,0917,1038,95.38%,191.04
559,0401,0918,1152,95.57%,110.56
560,0401,0919,1148,96.17%,180.43
561,0401,0920,1163,96.39%,109.91
562,0401,0921,1155,95.58%,182.48
563,0401,0922,1097,96.17%,115.2
564,0401,0923,1155,96.45%,180.24
565,0401,0924,1098,95.45%,150.87
566,0401,0925,1141,95.71%,145.02
567,0401,0926,1096,95.71%,113.36
568,0401,0927,1110,96.13%,152.74
569,0401,0928,1152,96.61%,181.73
570,0401,0929,1066,94.84%,114.98
571,0401,0930,1095,96.71%,78.72
572,0401,0931,1062,95.76%,78.54
573,0401,0932,1162,97.07%,75.67
574,0401,0933,1084,96.13%,117.21
575,0401,0934,1106,95.57%,76.06
576,0401,0935,1136,94.54%,111.79
577,0401,0936,1078,96.1%,78.98
578,0401,0937,1140,97.11%,148.25
579,0401,0938,1156,96.63%,111.28
580,0401,0939,1186,96.88%,111.56
581,0401,0940,1154,96.53%,147.42
582,0401,0941,1138,94.82%,110.24
583,0401,0942,1173,95.99%,182.05
584,0401,0943,1140,95.61%,111.1
585,0401,0944,1108,94.95%,182.48
586,0401,0945,1121,96.16%,146.31
587,0401,0946,1222,95.58%,143.09
588,0401,0947,1137,96.04%,182.62
589,0401,0948,1141,96.41%,182.1
590,0401,0949,1100,96.55%,80.45
591,0401,0950,1024,95.41%,116.45
592,0401,0951,1096,95.99%,115.5
593,0401,0952,1153,95.92%,146.24
594,0401,0953,1126,95.29%,111.92
595,0401,0954,1064,95.58%,74.3
596,0401,0955,1124,95.64%,224.89
597,0401,0956,1090,95.87%,78.52
598,0401,0957,1126,95.12%,113.14
599,0401,0958,1104,96.56%,151.34
600,0401,0959,1069,94.76%,3854.97
601,0401,1000,1162,94.92%,145.67
602,0401,1001,1219,95.65%,112.96
603,0401,1002,1121,95.72%,73.85
604,0401,1003,1129,94.86%,114.44
605,0401,1004,1102,94.92%,78.25
606,0401,1005,1067,96.06%,111.96
607,0401,1006,1064,95.58%,113.17
608,0401,1007,1191,95.3%,107.04
609,0401,1008,1111,96.22%,187.14
610,0401,1009,1072,94.96%,115.52
611,0401,1010,1120,96.07%,147.13
612,0401,1011,1118,95.53%,112.61
613,0401,1012,1126,96.27%,111.43
614,0401,1013,1130,94.96%,113.94
615,0401,1014,1078,95.18%,151.58
616,0401,1015,1117,95.97%,148.89
617,0401,1016,1067,96.06%,113.61
618,0401,1017,1163,96.65%,112.29
619,0401,1018,1103,95.83%,218.18
620,0401,1019,1184,96.96%,74.79
621,0401,1020,1196,95.99%,112.29
622,0401,1021,1221,95.82%,174.93
623,0401,1022,1196,95.74%,107.8
624,0401,1023,1080,97.31%,113.71
625,0401,1024,1096,96.53%,77.06
626,0401,1025,1092,94.51%,114.86
627,0401,1026,1071,95.24%,186.23
628,0401,1027,1063,95.48%,115.68
629,0401,1028,1115,96.5%,113.4
630,0401,1029,1107,94.85%,78.24
631,0401,1030,1123,96.17%,113.37
632,0401,1031,1091,95.97%,75.55
633,0401,1032,1068,96.91%,115.94
634,0401,1033,1111,96.76%,149.55
635,0401,1034,1035,96.71%,154.75
636,0401,1035,1025,95.22%,112.72
637,0401,1036,1038,94.89%,196.41
638,0401,1037,1083,95.29%,80.41
639,0401,1038,1038,95.47%,77.29
640,0401,1039,976,95.8%,77.67
641,0401,1040,1054,95.45%,115.92
642,0401,1041,1072,96.74%,76.13
643,0401,1042,1114,96.5%,76.94
644,0401,1043,1125,95.47%,185.89
645,0401,1044,1116,96.06%,111.85
646,0401,1045,1087,95.86%,151.62
647,0401,1046,1072,94.31%,115.18
648,0401,1047,1068,96.16%,77.06
649,0401,1048,1031,96.41%,117.23
650,0401,1049,977,95.7%,158.32
651,0401,1050,1045,96.65%,115.04
652,0401,1051,1011,96.34%,75.07
653,0401,1052,1128,96.01%,113.62
654,0401,1053,1063,95.2%,117.28
655,0401,1054,1034,94.97%,121.1
656,0401,1055,1098,95.54%,123.19
657,0401,1056,993,94.96%,76.73
658,0401,1057,1038,95.38%,114.58
659,0401,1058,1052,94.96%,194.2
660,0401,1059,1067,95.13%,7652.95
661,0401,1100,982,94.81%,119.9
662,0401,1101,1041,95.29%,81.57
663,0401,1102,978,94.58%,76.12
664,0401,1103,1003,95.21%,79.25
665,0401,1104,1001,95.6%,78.54
666,0401,1105,1023,96.58%,155.22
667,0401,1106,997,96.79%,157.15
668,0401,1107,1000,96.2%,156.55
669,0401,1108,992,95.67%,119.12
670,0401,1109,1014,96.06%,75.14
671,0401,1110,1018,95.58%,160.27
672,0401,1111,1009,95.64%,200.37
673,0401,1112,1059,95.75%,117.38
674,0401,1113,1043,95.97%,78.77
675,0401,1114,965,95.44%,80.52
676,0401,1115,1033,95.55%,81.47
677,0401,1116,980,94.8%,202.34
678,0401,1117,1029,96.02%,198.02
679,0401,1118,1011,96.44%,197.33
680,0401,1119,996,95.28%,115.93
681,0401,1120,1006,96.02%,80.87
682,0401,1121,1025,96.78%,194.17
683,0401,1122,973,96.09%,76.67
684,0401,1123,981,95.92%,79.2
685,0401,1124,921,96.31%,209.52
686,0401,1125,946,95.98%,121.46
687,0401,1126,981,96.23%,120.38
688,0401,1127,1010,95.45%,119.51
689,0401,1128,976,96%,75.75
690,0401,1129,965,96.27%,80.15
691,0401,1130,1001,96%,80.13
692,0401,1131,991,96.37%,201.71
693,0401,1132,928,95.69%,120.03
694,0401,1133,992,96.27%,119.62
695,0401,1134,918,96.08%,165.25
696,0401,1135,988,95.04%,162.38
697,0401,1136,1026,97.27%,77.59
698,0401,1137,1046,96.65%,152.48
699,0401,1138,906,95.25%,168.22
700,0401,1139,934,95.72%,78.56
701,0401,1140,1003,96.01%,156.68
702,0401,1141,953,96.12%,74.59
703,0401,1142,956,94.67%,203.37
704,0401,1143,934,95.4%,205.01
705,0401,1144,934,96.9%,78.13
706,0401,1145,1004,96.12%,80.49
707,0401,1146,942,95.12%,78.55
708,0401,1147,1006,94.93%,76.8
709,0401,1148,971,95.16%,160.74
710,0401,1149,990,96.87%,158.81
711,0401,1150,988,97.06%,119.04
712,0401,1151,970,95.67%,117.35
713,0401,1152,1016,95.57%,160.19
714,0401,1153,924,95.89%,138.58
715,0401,1154,1049,95.33%,231.15
716,0401,1155,1016,95.28%,196.13
717,0401,1156,1057,96.4%,151.28
718,0401,1157,1146,96.25%,114.16
719,0401,1158,1028,95.82%,158.48
720,0401,1159,1032,95.35%,7907.32
721,0401,1200,1040,96.35%,160.23
722,0401,1201,959,96.25%,81.67
723,0401,1202,1008,94.84%,77.96
724,0401,1203,1077,95.91%,116.6
725,0401,1204,984,95.63%,120.65
726,0401,1205,1071,96.17%,120.23
727,0401,1206,1021,96.18%,118.03
728,0401,1207,1069,97.38%,114.6
729,0401,1208,1066,94.56%,117.69
730,0401,1209,1040,94.9%,120.23
731,0401,1210,1045,95.02%,190.65
732,0401,1211,1125,94.93%,258.48
733,0401,1212,1109,96.3%,79.6
734,0401,1213,1035,96.23%,156.27
735,0401,1214,1038,94.61%,117.61
736,0401,1215,1011,96.44%,231.94
737,0401,1216,1083,94.83%,110.55
738,0401,1217,1054,93.64%,152.52
739,0401,1218,1069,94.95%,190.8
740,0401,1219,1076,94.52%,117.38
741,0401,1220,1108,94.77%,150.48
742,0401,1221,1138,95.34%,150.61
743,0401,1222,1102,95.46%,116.09
