   ,日期,时间,交易量,成功率,响应时间
233,0201,0352,14,100%,97.64
234,0201,0353,6,100%,100.67
235,0201,0354,4,100%,101.25
236,0201,0355,7,100%,114.71
237,0201,0356,9,100%,179.56
238,0201,0357,7,100%,152.57
239,0201,0358,11,100%,129
240,0201,0359,10,90%,131.2
241,0201,0400,14,78.57%,118.29
242,0201,0401,11,100%,137.27
243,0201,0402,7,100%,151.57
244,0201,0403,17,100%,108.41
245,0201,0404,14,92.86%,101.86
246,0201,0405,11,90.91%,145.27
247,0201,0406,11,100%,106.55
248,0201,0407,14,100%,109.43
249,0201,0408,7,100%,116.29
250,0201,0409,1,100%,100
251,0201,0410,11,100%,109
252,0201,0411,8,100%,111.88
253,0201,0412,14,100%,114.93
254,0201,0413,10,100%,93.4
255,0201,0414,14,92.86%,108.64
256,0201,0415,14,92.86%,110.21
257,0201,0416,4,100%,101
258,0201,0417,6,83.33%,100.83
259,0201,0418,6,100%,95.17
260,0201,0419,3,100%,101.33
261,0201,0420,3,66.67%,13408.33
262,0201,0421,13,92.31%,100.15
263,0201,0422,10,100%,102.5
264,0201,0423,9,88.89%,123.22
265,0201,0424,3,100%,136
266,0201,0425,8,100%,94
267,0201,0426,20,100%,97
268,0201,0427,12,100%,101.08
269,0201,0428,15,93.33%,102.33
270,0201,0429,16,100%,115.56
271,0201,0430,11,100%,101.18
272,0201,0431,21,80.95%,98.14
273,0201,0432,8,87.5%,125.38
274,0201,0433,10,100%,100.3
275,0201,0434,7,100%,102
276,0201,0435,7,100%,102.14
277,0201,0436,9,100%,101.67
278,0201,0437,11,100%,103.18
279,0201,0438,7,100%,97.86
280,0201,0439,7,100%,107.43
281,0201,0440,9,100%,103.89
282,0201,0441,13,100%,115.92
283,0201,0442,10,100%,100.6
284,0201,0443,14,100%,2962.5
285,0201,0444,7,100%,82
286,0201,0445,5,100%,89
287,0201,0446,7,85.71%,101.43
288,0201,0447,15,86.67%,92.73
289,0201,0448,14,100%,105
290,0201,0449,8,100%,105.13
291,0201,0450,9,88.89%,85.33
292,0201,0451,10,100%,102.4
293,0201,0452,7,100%,102.29
294,0201,0453,3,100%,102
295,0201,0454,5,80%,93
296,0201,0455,7,100%,101
297,0201,0456,14,100%,95.79
298,0201,0457,9,100%,111.11
299,0201,0458,4,100%,102
300,0201,0459,5,100%,100.6
301,0201,0500,8,100%,102.13
302,0201,0501,12,100%,101.67
303,0201,0502,10,100%,101.6
304,0201,0503,11,100%,100.91
305,0201,0504,4,100%,101.25
306,0201,0505,6,100%,101.83
307,0201,0506,14,100%,94.43
308,0201,0507,16,100%,107.25
309,0201,0508,11,100%,101
310,0201,0509,25,100%,99.04
311,0201,0510,8,100%,104.75
312,0201,0511,8,100%,100.88
313,0201,0512,14,92.86%,2956.79
314,0201,0513,9,100%,92.89
315,0201,0514,21,95.24%,101.05
316,0201,0515,14,92.86%,100
317,0201,0516,17,100%,96.94
318,0201,0517,7,100%,101.71
319,0201,0518,10,100%,101.1
320,0201,0519,8,87.5%,105.5
321,0201,0520,10,100%,100
322,0201,0521,22,90.91%,107.36
323,0201,0522,13,92.31%,102.08
324,0201,0523,17,94.12%,103.65
325,0201,0524,18,94.44%,98.17
326,0201,0525,5,100%,142
327,0201,0526,10,100%,102
328,0201,0527,16,100%,95.25
329,0201,0528,38,92.11%,99.53
330,0201,0529,16,93.75%,100.25
331,0201,0530,11,100%,105
332,0201,0531,18,100%,100.83
333,0201,0532,14,100%,96.64
334,0201,0533,21,95.24%,98.29
335,0201,0534,22,100%,96.64
336,0201,0535,21,100%,295.29
337,0201,0536,15,93.33%,102.33
338,0201,0537,18,100%,107.11
339,0201,0538,19,89.47%,95.42
340,0201,0539,25,100%,101.76
341,0201,0540,15,86.67%,2767.47
342,0201,0541,10,100%,103.1
343,0201,0542,24,91.67%,106
344,0201,0543,9,100%,113.11
345,0201,0544,15,100%,108.13
346,0201,0545,22,100%,99.95
347,0201,0546,14,92.86%,101.5
348,0201,0547,10,100%,102.1
349,0201,0548,8,100%,102.88
350,0201,0549,12,91.67%,107.08
351,0201,0550,17,94.12%,97.12
352,0201,0551,10,100%,96.1
353,0201,0552,11,90.91%,93.82
354,0201,0553,16,93.75%,99.06
355,0201,0554,19,94.74%,103.11
356,0201,0555,18,94.44%,101.22
357,0201,0556,16,100%,97.56
358,0201,0557,13,84.62%,88.62
359,0201,0558,26,96.15%,97.81
360,0201,0559,25,92%,101.8
361,0201,0600,20,95%,101.4
362,0201,0601,26,100%,110
363,0201,0602,27,96.3%,124.33
364,0201,0603,26,92.31%,114.08
365,0201,0604,20,95%,106.55
366,0201,0605,22,100%,105.27
367,0201,0606,19,100%,100.79
368,0201,0607,18,100%,97.39
369,0201,0608,17,100%,112.59
370,0201,0609,16,100%,101.88
371,0201,0610,15,93.33%,104.8
372,0201,0611,25,96%,100.2
373,0201,0612,16,100%,101.06
374,0201,0613,19,94.74%,106.95
375,0201,0614,16,68.75%,101.38
376,0201,0615,19,94.74%,97.42
377,0201,0616,12,83.33%,102.17
378,0201,0617,34,97.06%,97.65
379,0201,0618,25,92%,99.88
380,0201,0619,16,93.75%,92.13
381,0201,0620,20,95%,97.6
382,0201,0621,32,87.5%,95
383,0201,0622,18,94.44%,96.83
384,0201,0623,20,95%,99
385,0201,0624,29,96.55%,96.93
386,0201,0625,19,94.74%,104.47
387,0201,0626,25,92%,95.04
388,0201,0627,26,96.15%,100.88
389,0201,0628,33,87.88%,96.36
390,0201,0629,27,92.59%,102.04
391,0201,0630,27,100%,101.63
392,0201,0631,30,93.33%,120.53
393,0201,0632,16,100%,102.88
394,0201,0633,26,88.46%,100.23
395,0201,0634,25,100%,98.12
396,0201,0635,38,100%,101.29
397,0201,0636,33,96.97%,103.61
398,0201,0637,39,97.44%,101.26
399,0201,0638,33,100%,100.58
400,0201,0639,26,100%,101.5
401,0201,0640,25,100%,107
402,0201,0641,34,100%,100.18
403,0201,0642,40,97.5%,101.68
404,0201,0643,50,94%,101.28
405,0201,0644,40,95%,105.1
406,0201,0645,46,97.83%,95.2
407,0201,0646,41,100%,102.59
408,0201,0647,39,97.44%,101.67
409,0201,0648,53,94.34%,97.25
410,0201,0649,56,94.64%,101.29
411,0201,0650,47,97.87%,95.85
412,0201,0651,49,100%,102.49
413,0201,0652,47,85.11%,96.77
414,0201,0653,40,95%,99.48
415,0201,0654,52,94.23%,98.69
416,0201,0655,46,100%,101.76
417,0201,0656,31,90.32%,1392.19
418,0201,0657,42,100%,99.33
419,0201,0658,46,100%,101.24
420,0201,0659,44,97.73%,101.84
421,0201,0700,39,97.44%,99.38
422,0201,0701,43,95.35%,102.23
423,0201,0702,49,95.92%,101.82
424,0201,0703,66,100%,713.11
425,0201,0704,47,97.87%,1802.28
426,0201,0705,60,91.67%,763.32
427,0201,0706,56,98.21%,122.52
428,0201,0707,60,96.67%,98.6
429,0201,0708,57,96.49%,98.79
430,0201,0709,97,96.91%,99.6
431,0201,0710,69,95.65%,98.57
432,0201,0711,74,97.3%,98.92
433,0201,0712,70,97.14%,672.51
434,0201,0713,70,97.14%,98.97
435,0201,0714,68,95.59%,100.12
436,0201,0715,80,97.5%,98.9
437,0201,0716,84,96.43%,94.75
438,0201,0717,90,97.78%,101.29
439,0201,0718,102,96.08%,103.49
440,0201,0719,99,96.97%,94.8
441,0201,0720,80,93.75%,101.2
442,0201,0721,75,98.67%,100.89
443,0201,0722,90,97.78%,100.12
444,0201,0723,103,94.17%,875.23
445,0201,0724,102,96.08%,103.73
446,0201,0725,125,96.8%,109.11
447,0201,0726,95,98.95%,100.45
448,0201,0727,91,97.8%,101.8
449,0201,0728,108,94.44%,99.56
450,0201,0729,89,92.13%,97.1
451,0201,0730,114,96.49%,96.96
452,0201,0731,109,95.41%,97.03
453,0201,0732,108,95.37%,469.84
454,0201,0733,131,98.47%,102.79
455,0201,0734,109,99.08%,103.96
456,0201,0735,137,91.97%,99.26
457,0201,0736,117,94.87%,105.23
458,0201,0737,131,97.71%,119.71
459,0201,0738,133,95.49%,100.91
460,0201,0739,161,97.52%,96.86
461,0201,0740,175,96.57%,110.42
462,0201,0741,185,92.97%,108.64
463,0201,0742,190,96.32%,105.88
464,0201,0743,170,94.12%,105.84
465,0201,0744,144,96.53%,100.42
466,0201,0745,158,96.2%,102.37
467,0201,0746,156,96.79%,350.28
468,0201,0747,137,94.89%,103.23
469,0201,0748,168,98.81%,94.86
470,0201,0749,147,96.6%,95.1
471,0201,0750,171,97.08%,95.08
472,0201,0751,141,91.49%,101.45
473,0201,0752,165,95.76%,95.26
474,0201,0753,182,94.51%,100.98
475,0201,0754,174,92.53%,94.85
476,0201,0755,169,91.72%,95.49
477,0201,0756,213,95.77%,95.57
478,0201,0757,215,98.14%,95.08
479,0201,0758,163,96.32%,349.42
480,0201,0759,179,97.77%,98.93
481,0201,0800,222,95.05%,95.56
482,0201,0801,191,94.76%,93.95
483,0201,0802,201,94.53%,92.56
484,0201,0803,175,97.14%,95.01
485,0201,0804,192,96.35%,95.13
486,0201,0805,234,95.73%,98.18
487,0201,0806,234,95.73%,272.2
488,0201,0807,250,95.6%,259.3
489,0201,0808,214,94.86%,99.01
490,0201,0809,209,97.61%,90.11
491,0201,0810,228,96.05%,623.72
492,0201,0811,264,93.56%,397.76
493,0201,0812,227,95.59%,95.72
494,0201,0813,275,94.55%,244.29
495,0201,0814,297,94.61%,225.37
496,0201,0815,280,96.07%,238.3
497,0201,0816,258,94.19%,250.66
498,0201,0817,246,97.56%,94.74
499,0201,0818,297,94.95%,362.2
500,0201,0819,242,97.11%,260.55
501,0201,0820,257,96.5%,91.87
502,0201,0821,281,95.73%,235.02
503,0201,0822,314,96.5%,91.03
504,0201,0823,307,96.42%,220.89
505,0201,0824,296,97.3%,89.66
506,0201,0825,301,97.34%,93.11
507,0201,0826,306,95.75%,229.58
508,0201,0827,313,95.21%,346.88
509,0201,0828,366,96.99%,312.7
510,0201,0829,335,94.03%,100.91
511,0201,0830,331,96.68%,757.14
512,0201,0831,367,97%,92.97
513,0201,0832,363,96.14%,206.09
514,0201,0833,322,96.27%,94.11
515,0201,0834,323,95.36%,94.05
516,0201,0835,318,95.6%,93.05
517,0201,0836,333,95.5%,211.37
518,0201,0837,367,94.01%,310.89
519,0201,0838,399,94.99%,195.97
520,0201,0839,407,96.07%,92.14
521,0201,0840,369,94.31%,98.02
522,0201,0841,343,95.63%,325.98
523,0201,0842,380,95.53%,403.04
524,0201,0843,388,96.39%,93.76
525,0201,0844,452,95.58%,180.13
526,0201,0845,425,97.41%,281.06
527,0201,0846,434,96.54%,87.17
528,0201,0847,387,95.87%,88.31
529,0201,0848,411,96.59%,89.79
530,0201,0849,426,95.77%,89.25
531,0201,0850,434,96.08%,185.22
532,0201,0851,427,96.25%,88.88
533,0201,0852,454,96.26%,180.38
534,0201,0853,419,95.7%,92.8
535,0201,0854,426,97.42%,184.52
536,0201,0855,426,96.24%,183.45
537,0201,0856,406,98.77%,88.05
538,0201,0857,426,95.54%,86.72
539,0201,0858,443,96.61%,181.98
540,0201,0859,460,96.96%,8874.54
541,0201,0900,482,96.89%,89.74
542,0201,0901,494,96.36%,170.75
543,0201,0902,528,96.02%,162.79
544,0201,0903,534,95.51%,159.71
545,0201,0904,499,94.79%,167.08
546,0201,0905,516,96.9%,88.61
547,0201,0906,517,95.55%,239.12
548,0201,0907,536,96.27%,163.9
549,0201,0908,514,96.3%,162.93
550,0201,0909,505,96.63%,87.68
551,0201,0910,519,94.41%,83.05
552,0201,0911,517,95.74%,169.63
553,0201,0912,543,95.03%,86.52
554,0201,0913,591,95.77%,90.59
555,0201,0914,596,97.15%,156.2
556,0201,0915,606,95.21%,224.54
557,0201,0916,562,96.26%,160.25
558,0201,0917,570,97.54%,226.17
559,0201,0918,622,96.46%,151.76
560,0201,0919,599,94.99%,88.31
561,0201,0920,595,94.29%,156.67
562,0201,0921,590,94.24%,94.08
563,0201,0922,627,96.65%,152.24
564,0201,0923,620,95.32%,153.39
565,0201,0924,622,95.02%,159.34
566,0201,0925,610,94.75%,92.97
567,0201,0926,597,94.81%,227.55
568,0201,0927,624,94.23%,89.72
569,0201,0928,644,95.81%,147.96
570,0201,0929,632,95.09%,150.88
571,0201,0930,668,95.96%,144.74
572,0201,0931,692,95.52%,86.22
573,0201,0932,733,97.41%,143.19
574,0201,0933,711,96.91%,196.62
575,0201,0934,702,95.58%,82.95
576,0201,0935,716,96.23%,84.39
577,0201,0936,696,96.12%,140.36
578,0201,0937,724,96.96%,138.22
579,0201,0938,713,96.49%,83.64
580,0201,0939,760,96.32%,83.82
581,0201,0940,775,95.23%,186.13
582,0201,0941,733,94.95%,79.68
583,0201,0942,803,94.89%,86.25
584,0201,0943,761,95.27%,140.75
585,0201,0944,784,96.56%,184.84
586,0201,0945,752,95.21%,192.72
587,0201,0946,766,95.43%,187.92
588,0201,0947,651,95.39%,207.05
589,0201,0948,695,94.24%,82.47
590,0201,0949,760,94.21%,187.19
591,0201,0950,806,96.53%,182.63
592,0201,0951,746,96.92%,189.83
593,0201,0952,814,96.07%,83.46
594,0201,0953,804,95.4%,183.96
595,0201,0954,774,94.96%,133
596,0201,0955,757,95.11%,186.67
597,0201,0956,803,97.01%,333.09
598,0201,0957,799,95.87%,181.67
599,0201,0958,790,95.95%,81.22
600,0201,0959,779,95.12%,10453.97
601,0201,1000,794,96.47%,382.31
602,0201,1001,806,93.8%,130.14
603,0201,1002,811,95.31%,78.78
604,0201,1003,781,95.77%,136.12
605,0201,1004,813,95.82%,132.04
606,0201,1005,862,97.1%,80.85
607,0201,1006,800,96%,130.66
608,0201,1007,826,95.16%,176.01
609,0201,1008,823,96.6%,177.88
610,0201,1009,797,96.86%,81.88
611,0201,1010,827,94.44%,176.5
612,0201,1011,849,95.17%,126.88
613,0201,1012,839,94.4%,83.02
614,0201,1013,934,96.36%,168.42
615,0201,1014,866,96.07%,268.23
616,0201,1015,881,95.35%,79.79
617,0201,1016,881,96.59%,124.95
618,0201,1017,860,94.77%,360.77
619,0201,1018,910,96.7%,123.37
620,0201,1019,899,95.33%,124.09
621,0201,1020,850,95.53%,125.62
622,0201,1021,898,96.88%,125.56
623,0201,1022,872,94.27%,171.73
624,0201,1023,833,95.56%,82.6
625,0201,1024,799,94.87%,133.46
626,0201,1025,844,96.56%,125.44
627,0201,1026,811,95.56%,226.72
628,0201,1027,942,95.01%,168
629,0201,1028,869,95.74%,216.71
630,0201,1029,794,94.84%,83.27
631,0201,1030,803,95.27%,79.06
632,0201,1031,807,95.42%,81.51
633,0201,1032,837,96.18%,174.34
634,0201,1033,902,96.45%,78.8
635,0201,1034,864,95.95%,76.81
636,0201,1035,897,95.88%,124.84
637,0201,1036,940,95.21%,82.03
638,0201,1037,849,96.82%,124.21
639,0201,1038,909,95.27%,125.17
640,0201,1039,874,95.77%,124.57
641,0201,1040,960,94.69%,121.95
642,0201,1041,970,96.08%,120.35
643,0201,1042,888,96.06%,127.43
644,0201,1043,952,96.43%,163.67
645,0201,1044,856,95.33%,219.64
646,0201,1045,899,95.88%,168.18
647,0201,1046,851,95.65%,78.69
648,0201,1047,865,94.45%,170.11
649,0201,1048,902,97.01%,83.75
650,0201,1049,840,95.36%,78.02
651,0201,1050,823,95.26%,179.57
652,0201,1051,851,96.59%,81.89
653,0201,1052,883,96.15%,216.72
654,0201,1053,896,96.54%,124.35
655,0201,1054,830,95.78%,81.01
656,0201,1055,863,95.02%,174.86
657,0201,1056,778,96.4%,181.75
658,0201,1057,779,96.41%,129.3
659,0201,1058,888,96.17%,78.79
660,0201,1059,803,96.76%,15171.22
661,0201,1100,809,95.67%,131.9
662,0201,1101,754,96.42%,80.57
663,0201,1102,783,95.53%,232.07
664,0201,1103,800,95.13%,128.93
665,0201,1104,788,95.69%,131.25
666,0201,1105,796,95.1%,181.69
667,0201,1106,766,96.21%,133.3
668,0201,1107,722,96.95%,82.5
669,0201,1108,747,96.39%,135.58
670,0201,1109,738,96.21%,78.62
671,0201,1110,785,95.92%,81.18
672,0201,1111,778,94.6%,132.26
673,0201,1112,862,96.64%,84.07
674,0201,1113,811,96.42%,81.64
675,0201,1114,779,95.25%,129.56
676,0201,1115,747,95.72%,80.05
677,0201,1116,726,96.28%,139.26
678,0201,1117,717,95.82%,138.08
679,0201,1118,741,96.22%,190.68
680,0201,1119,748,95.86%,83.67
681,0201,1120,761,95.01%,82.24
682,0201,1121,652,94.02%,85.3
683,0201,1122,751,95.47%,187.09
684,0201,1123,628,95.86%,79.02
685,0201,1124,663,96.68%,139.82
686,0201,1125,653,97.4%,204.22
687,0201,1126,663,97.74%,142.29
688,0201,1127,664,96.54%,86.12
689,0201,1128,691,95.95%,200.13
690,0201,1129,705,95.74%,139.07
691,0201,1130,670,94.48%,199.88
692,0201,1131,751,96.54%,132.59
693,0201,1132,712,95.08%,137.1
694,0201,1133,689,96.08%,138.86
695,0201,1134,686,94.9%,319.4
696,0201,1135,687,94.18%,257.04
697,0201,1136,659,95.75%,83.24
698,0201,1137,630,95.87%,83.47
699,0201,1138,648,96.14%,82.02
700,0201,1139,636,94.97%,80.48
701,0201,1140,694,95.39%,198.42
702,0201,1141,646,96.75%,209.02
703,0201,1142,629,95.55%,208.99
704,0201,1143,635,94.8%,144.61
705,0201,1144,655,95.42%,87.85
706,0201,1145,638,95.14%,82.43
707,0201,1146,676,94.53%,84.01
708,0201,1147,681,96.18%,81.42
709,0201,1148,681,96.48%,141.36
710,0201,1149,677,96.45%,142.56
711,0201,1150,634,96.85%,87.3
712,0201,1151,607,95.06%,151.07
713,0201,1152,594,95.62%,150.41
714,0201,1153,564,93.79%,86.37
715,0201,1154,583,95.03%,83.45
716,0201,1155,637,95.92%,82.23
717,0201,1156,588,94.56%,288.33
718,0201,1157,540,96.11%,83.97
719,0201,1158,568,95.6%,301.54
720,0201,1159,592,94.76%,84.47
721,0201,1200,545,94.68%,152.82
722,0201,1201,547,96.16%,160.08
723,0201,1202,615,97.4%,86.27
724,0201,1203,538,95.91%,158.64
725,0201,1204,592,96.96%,149.42
726,0201,1205,601,94.84%,152.83
727,0201,1206,593,96.46%,156.04
728,0201,1207,584,95.55%,220.6
729,0201,1208,567,95.94%,161.87
730,0201,1209,617,93.52%,84.05
731,0201,1210,590,97.29%,86.39
732,0201,1211,556,95.5%,302.08
733,0201,1212,561,92.87%,296.95
734,0201,1213,579,95.51%,295.97
735,0201,1214,591,95.26%,83.84
736,0201,1215,539,94.99%,164.12
737,0201,1216,583,94.68%,89.63
738,0201,1217,592,94.59%,157.55
739,0201,1218,579,91.88%,89.64
740,0201,1219,658,94.68%,80.44
741,0201,1220,642,93.61%,205.83
742,0201,1221,547,95.25%,229.28
743,0201,1222,571,96.67%,300.07
744,0201,1223,616,95.45%,148.82
745,0201,1224,630,95.56%,213.64
746,0201,1225,609,94.75%,87.59
747,0201,1226,618,96.28%,93.18
748,0201,1227,646,94.89%,88.78
749,0201,1228,624,94.87%,85.69
750,0201,1229,632,95.41%,277.3
751,0201,1230,573,95.11%,157
752,0201,1231,641,95.16%,211.84
753,0201,1232,631,96.04%,81.3
754,0201,1233,624,95.51%,149.01
755,0201,1234,578,97.4%,156
756,0201,1235,622,95.98%,90.39
757,0201,1236,658,93.31%,84.54
758,0201,1237,715,94.27%,196.83
759,0201,1238,643,95.33%,209.21
760,0201,1239,605,97.02%,283.76
761,0201,1240,639,97.81%,84.18
762,0201,1241,599,94.66%,287.18
763,0201,1242,673,94.06%,87.37
764,0201,1243,595,96.3%,157.53
